seqno,organization,introduction,localcallservice,countycode,adress
1,玉美人孕婦裝觀光工廠,"台灣媽咪MIT好""孕""到",(02)89669762,65000,新北市板橋區四川路2段16巷10號5樓
2,吳福洋襪子故事館,老襪廠對品質的堅持,"(02)26016503 ",65000,新北市林口區工二工業區工九路3號
3,聖瑪莉丹麥麵包莊園,丹麥麵包訴說烘焙故事,(02)22689600,65000,新北市土城區中山路21號
4,許新旺陶瓷紀念博物館,你儂我儂陶藝傳情,(02)26789571,65000,新北市鶯歌區尖山埔路81號
5,手信坊創意和菓子文化館,觸動五感的日本文化享受,(02)82620506,65000,新北市土城區國際路55號
6,卡滋爆米花觀光工廠樂園,飛天爆米花奇幻之旅,(02)86303886,65000,新北市八里區觀海大道171號
7,王子創意文具國,橡皮擦發家揚名國際文具,(02)25783927,65000,新北市林口區粉寮路一段86號
8,香帥蛋糕芋製所,芋頭蛋糕名家,(02)26486558,65000,新北市汐止區汐萬路1段211巷26號一樓
9,維格餅家鳳梨酥夢工場,鳳梨小金磚好運旺旺來,(02)22919122,65000,新北市五股區成泰路1段87號
10,王鼎時間科藝體驗館,"結合科藝 抽象時間具體化","(02)22682999 ",65000,新北市土城區大暖路136號
11,豐得好食觀光工廠,用真感情傳承對食材的執著,(02)22980002,65000,新北市五股區五權路48號1樓
12,啤酒頭釀造觀光酒廠,精釀在地風味、挺進國際傳香,(02)85110085,65000,新北市三重區中興北街50號
13,自然美生技觀光工廠,自然就是美,(02)26625646,65000,新北市深坑區北深路三段252號8樓
14,琉傳天下琉星花園,光與熱共舞的華麗演出,(02)26256972,65000,新北市淡水區忠寮里口湖子1-7號
15,阮的肉干產業概念館,食尚的創意肉干,"(02)29805576 ",65000,新北市三重區重新路4段27號1樓
16,坪林茶產業文化館,茶農與土地的故事,(02)26657227,65000,"新北市坪林區坪林街103號 "
17,印地安皮革創意工場,天然無毒的環保皮革,(02)29991516,65000,新北市三重區中興北街136巷28號
18,安美得傷口照護產業文化館,供妥善的傷口照護解決方案,(02)22982151,65000,新北市五股區五權路7巷6號8樓
